exposure,ad,model,method,n_snp,b_ad,se_ad,p_ad,Q_p,egger_int_p,n_outlier,presso_global_p,b_life,se_life,p_life,b_SH,se_SH,trusted,reason,b_uncorr,b_corr,se_corr,ci_lo,ci_hi,p_corr,attenuation,verdict
Sleeplessness,AD — Bellenguez 2022 (proxy-incl.),IVW-FE,IVW-FE,39,0.06996796317131956,0.13111011917915982,0.5935781766099182,0.46816136448425444,0.7321910018659118,NA,NA,-0.01518019486666449,0.05162811020255632,0.7687352513690313,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,0.06996796317131956,0.05564338054488171,0.13987300036392786,-0.21850770016841686,0.3297944612581803,0.6907675982612305,0.20473059350553768,inconclusive
Sleeplessness,AD — Kunkle 2019 IGAP (clinical),IVW-FE,IVW-FE,31,-0.08893869963068952,0.2583280617153429,0.7306313149748476,0.15973061387507945,0.7939187449885876,NA,NA,-0.01518019486666449,0.05162811020255632,0.7687352513690313,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.08893869963068952,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Educational Attainment (CC),AD — Bellenguez 2022 (proxy-incl.),MR-RAPS,MR-RAPS,203,0.09035670201727855,0.12174443481412393,0.4579762075670504,3.419828008248348e-10,0.44791520221936687,NA,NA,-0.3842204522886463,0.03250328774879762,3.0414518536205815e-32,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,0.09035670201727855,-0.27220765660385526,0.12840906833682075,-0.5238894305440239,-0.0205258826636866,0.03401889876551535,-2.0125895536979876,REVERSED after correction
Educational Attainment (CC),AD — Kunkle 2019 IGAP (clinical),MR-RAPS,MR-RAPS,181,-0.6414955277709999,0.20895036120201074,0.002139973155970392,0.00102265314915168,0.34910665789433093,NA,NA,-0.3842204522886463,0.03250328774879762,3.0414518536205815e-32,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.6414955277709999,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Educational Attainment (YOE),AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,211,0.014999427977098516,0.011042338557524596,0.17435071595182272,3.7829870186840085e-10,0.12860307212106978,NA,NA,-0.03482185126500279,0.00301614523256763,7.810445198116345e-31,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,0.014999427977098516,-0.017859734242646044,0.011661934024712045,-0.04071712493108165,0.004997656445789565,0.12565683016860543,-0.19069435647244104,inconclusive
Educational Attainment (YOE),AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,185,-0.05391073161106837,0.018425959953105357,0.0034356826095619706,0.0030677890235410203,0.15448204344916447,NA,NA,-0.03482185126500279,0.00301614523256763,7.810445198116345e-31,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.05391073161106837,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Smoking (GSCAN),AD — Bellenguez 2022 (proxy-incl.),MR-PRESSO,MR-PRESSO (outlier-corrected),23,-0.11236843814274888,0.030496858739030366,0.001468990478579062,4.732867243851256e-9,0.11500012170901523,2,0.001,0.1017532038508362,0.01773393457642159,9.593235436133971e-9,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,-0.11236843814274888,-0.01635042329717616,0.035511236222366294,-0.0859524462930141,0.05325159969866178,0.6452079124894239,0.8544927422021729,ABOLISHED — signal explained by survival bias
Smoking (GSCAN),AD — Kunkle 2019 IGAP (clinical),MR-PRESSO,MR-PRESSO (raw; no outliers),21,-0.026299360187462154,0.07082764185975587,0.714307382492776,0.04162854642527979,0.0742672549550715,0,0.054,0.1017532038508362,0.01773393457642159,9.593235436133971e-9,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.026299360187462154,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Alcohol,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,34,0.12208907348892582,0.12843179291680565,0.34180030730159605,4.1323361180455345e-8,0.23525351984918902,NA,NA,0.08868589694625505,0.03972621603434548,0.02558672229235923,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,0.12208907348892582,0.2057763034464371,0.13393547714711798,-0.05673723176191414,0.46828983865478835,0.12444426639187148,-0.6854604393824169,inconclusive
Alcohol,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,29,0.1656594232871057,0.21441000586799772,0.4397418804012462,1.13973907887184e-5,0.39237936454470457,NA,NA,0.08868589694625505,0.03972621603434548,0.02558672229235923,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",0.1656594232871057,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Schizophrenia,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,150,0.03802556695500534,0.016411571704404205,0.02050388008412718,8.518523331007423e-13,0.4217591531956506,NA,NA,0.00581962842065796,0.00538240654514614,0.2795940734070622,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,0.03802556695500534,0.0435171794737581,0.017184380568844203,0.009835793558823462,0.07719856538869274,0.011329494236587774,-0.14441895173452202,ROBUST — survives correction
Schizophrenia,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,131,0.031695610777669685,0.02454080254234094,0.19651391498205437,0.020420475256617214,0.6170350866759506,NA,NA,0.00581962842065796,0.00538240654514614,0.2795940734070622,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",0.031695610777669685,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Bipolar Disorder,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,44,0.10415030285828539,0.028551560693607016,2.644982872755638e-4,5.335346481722261e-4,0.8543794503808491,NA,NA,-0.02213682313286512,0.0070815180234135,0.00177201739693936,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,0.10415030285828539,0.08326119340752883,0.029364216858239423,0.02570732836537956,0.1408150584496781,0.004575910552837085,0.20056695830428672,ROBUST — survives correction
Bipolar Disorder,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,44,0.011152343000292688,0.04669303687167494,0.8112266948026027,0.010105850011740152,0.39179829124071053,NA,NA,-0.02213682313286512,0.0070815180234135,0.00177201739693936,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",0.011152343000292688,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Major Depressive Disorder,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,32,-0.03521153791092974,0.07471025488225061,0.6374208312567828,2.7807874980494078e-5,0.595547391167454,NA,NA,-0.0086879615089893,0.02304514949778195,0.7061755349881012,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,-0.03521153791092974,-0.043409813597371866,0.07781318999616708,-0.19592366598985936,0.10910403879511563,0.5769316727265014,-0.23282924214160383,inconclusive
Major Depressive Disorder,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,31,-0.0877062152021313,0.12393377884189095,0.4791401981967023,0.0010001352094453674,0.722089000765468,NA,NA,-0.0086879615089893,0.02304514949778195,0.7061755349881012,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.0877062152021313,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
