ENSEMBL.ID,term,estimate,std.error,statistic,p.value,p.adj,symbol
ENSMUSG00000078798,chol2:sexM,0.17493346441312477,0.36606407527840573,0.4778766238672319,0.6338474482130647,0.6338474482130647,Sult2a1
ENSMUSG00000040848,chol2:sexM,-0.014689308133886756,0.030800655684587713,-0.4769154359670698,0.6345292184055693,0.6345292184055693,Sft2d2
ENSMUSG00000026623,chol2:sexM,-0.08807566015463283,0.18509302015700302,-0.4758453888748677,0.6352885730817261,0.6352885730817261,Lpgat1
ENSMUSG00000021213,chol2:sexM,-0.04037064115479989,0.08489604518027748,-0.47553029200680064,0.6355122546703336,0.6355122546703336,Akr1c13
ENSMUSG00000021336,chol2:sexM,-0.018882758328559596,0.03976227368352038,-0.4748913122738659,0.6359659586006644,0.6359659586006644,Slc17a4
ENSMUSG00000054611,chol2:sexM,-0.006455936390824149,0.013629648697099265,-0.47366858341683715,0.6368345371612113,0.6368345371612113,Kdm2a
ENSMUSG00000032594,chol2:sexM,-0.007158201494492848,0.01513678946362377,-0.4729009088548929,0.6373801223415403,0.6373801223415403,Ip6k1
ENSMUSG00000001155,chol2:sexM,-0.101121591122953,0.21509396644718864,-0.4701275112139469,0.6393528343851935,0.6393528343851935,Ftcd
ENSMUSG00000020827,chol2:sexM,-0.007161592408664827,0.015262195488915687,-0.46923736587347487,0.6399865436283965,0.6399865436283965,Mink1
ENSMUSG00000038717,chol2:sexM,-0.009739974642702265,0.020774476415936986,-0.46884332715265525,0.6402671515947009,0.6402671515947009,Atp5l
ENSMUSG00000007833,chol2:sexM,0.008159182357285218,0.017413627503034396,0.4685515614631958,0.6404749612482117,0.6404749612482117,Aldh16a1
ENSMUSG00000027177,chol2:sexM,-0.015033312176014411,0.032113759130518525,-0.46812682734883787,0.640777528653603,0.640777528653603,Hipk3
ENSMUSG00000055172,chol2:sexM,0.054632314901126806,0.11693530076934884,0.46720121761081634,0.6414371144097573,0.6414371144097573,C1ra
ENSMUSG00000055912,chol2:sexM,-0.01738251511774884,0.03744735504073113,-0.4641853903658094,0.6435881739431304,0.6435881739431304,Tmem150a
ENSMUSG00000078688,chol2:sexM,12.040585724424217,25.96816618028173,0.4636671546551843,0.6439581154827879,0.6439581154827879,Mup2
ENSMUSG00000024070,chol2:sexM,0.06858163772556213,0.1484819364447133,0.4618853940600259,0.6452307052194428,0.6452307052194428,Prkd3
ENSMUSG00000067144,chol2:sexM,0.03426592429570156,0.07419234780028346,0.46185254020995736,0.6452541804072611,0.6452541804072611,Slc22a7
ENSMUSG00000040918,chol2:sexM,-0.025909070108387007,0.05615503500428115,-0.46138463107380756,0.6455885562975826,0.6455885562975826,Slc19a2
ENSMUSG00000025369,chol2:sexM,-0.012229173922938246,0.026558917470420225,-0.4604545323264168,0.6462534369264757,0.6462534369264757,Smarcc2
ENSMUSG00000073422,chol2:sexM,-0.007687883739385661,0.0167517413873193,-0.4589304217175428,0.6473435673155561,0.6473435673155561,H2-Ke6
ENSMUSG00000032047,chol2:sexM,-0.1092910213190966,0.238173406065322,-0.458871639468943,0.6473856271327418,0.6473856271327418,Acat1
ENSMUSG00000038704,chol2:sexM,-0.011320341384416626,0.024820256950589734,-0.45609283606339346,0.6493752171392552,0.6493752171392552,Aspdh
ENSMUSG00000047888,chol2:sexM,-0.008867139977450112,0.019585383159591317,-0.4527427370297687,0.6517772297188799,0.6517772297188799,Tnrc6b
ENSMUSG00000041762,chol2:sexM,0.01750050747405427,0.03866550193716094,0.45261296497575654,0.6518703500651214,0.6518703500651214,Gpr155
ENSMUSG00000050541,chol2:sexM,-0.015082362960383244,0.03333113743273116,-0.4525006982081677,0.6519509136181925,0.6519509136181925,Adra1b
ENSMUSG00000087141,chol2:sexM,-0.04228170797433402,0.09353825872986143,-0.4520258186165687,0.652291736750678,0.652291736750678,Plcxd2
ENSMUSG00000025651,chol2:sexM,-0.029998225083071973,0.06645169266906281,-0.45142905888743323,0.6527201383993728,0.6527201383993728,Uqcrc1
