ENSEMBL.ID,term_main,estimate_main,std.error_main,statistic_main,p.value_main,p.adj_main,symbol,term_int,estimate_int,std.error_int,statistic_int,p.value_int,p.adj_int
ENSMUSG00000023025,chol2,-0.014743565742412975,0.012278177780397559,-1.2007942877282225,0.23281649366257645,0.23281649366257645,Larp4,NA,NA,NA,NA,NA,NA
ENSMUSG00000049470,chol2,-0.017462097609051652,0.014544357663874578,-1.200609749334217,0.23288776370509998,0.23288776370509998,Aff4,NA,NA,NA,NA,NA,NA
ENSMUSG00000038539,chol2,-0.11006241916442792,0.09171966681911645,-1.1999871236066073,0.23312834219783468,0.23312834219783468,Atf5,NA,NA,NA,NA,NA,NA
ENSMUSG00000005299,chol2,-0.01551487501360926,0.012932889411478542,-1.1996449146034671,0.23326064573162533,0.23326064573162533,Letm1,chol2:sexM,-0.05886019328835895,0.025383001821476195,-2.318882285961867,0.02256833027734896,0.02256833027734896
ENSMUSG00000067274,chol2,-0.049394812091762434,0.04122761692976568,-1.1981001030428262,0.2338585680348112,0.2338585680348112,Rplp0,NA,NA,NA,NA,NA,NA
ENSMUSG00000055553,chol2,0.009152450325458139,0.007642818958794711,1.1975228478919118,0.234082278727629,0.234082278727629,Kxd1,NA,NA,NA,NA,NA,NA
ENSMUSG00000021928,chol2,0.025824886216929348,0.021583631784155424,1.196503279669895,0.23447778060791197,0.23447778060791197,Ebpl,NA,NA,NA,NA,NA,NA
ENSMUSG00000015291,chol2,0.007341832514188471,0.00614176111390958,1.1953953235922876,0.23490811404382297,0.23490811404382297,Gdi1,NA,NA,NA,NA,NA,NA
ENSMUSG00000036644,chol2,0.012586119321788712,0.01053456073775631,1.1947455271371241,0.23516076105356148,0.23516076105356148,Tbc1d9b,NA,NA,NA,NA,NA,NA
ENSMUSG00000066071,chol2,0.26473732243555687,0.2218923752533746,1.193088866317549,0.23580577045941292,0.23580577045941292,Cyp4a12a,NA,NA,NA,NA,NA,NA
ENSMUSG00000024870,chol2,0.01738936137401317,0.014585553284733798,1.1922318635806584,0.23613993711670625,0.23613993711670625,Rab1b,NA,NA,NA,NA,NA,NA
ENSMUSG00000021998,chol2,-0.0233935354656525,0.019622001802675905,-1.1922094239366678,0.23614869146022463,0.23614869146022463,Lcp1,NA,NA,NA,NA,NA,NA
ENSMUSG00000026944,chol2,-0.02759568195965583,0.023177695704575327,-1.1906136965206764,0.23677182812236544,0.23677182812236544,Abca2,NA,NA,NA,NA,NA,NA
ENSMUSG00000047731,chol2,0.05722213102876323,0.04808146608958918,1.19010786655595,0.2369696025936132,0.2369696025936132,Wbp1l,NA,NA,NA,NA,NA,NA
ENSMUSG00000009090,chol2,0.010734836588171502,0.0090297484004661591,1.1888300882909781,0.23746972931521634,0.23746972931521634,Ap1b1,chol2:sexM,-0.0443642769837232,0.017638397165338222,-2.5152102295839476,0.013593434723595445,0.013593434723595445
ENSMUSG00000007891,chol2,0.05053374471638379,0.04252662820780459,1.1882847722949668,0.23768339829480523,0.23768339829480523,Ctsd,chol2:sexM,-0.2119067527011913,0.08299001693508001,-2.5534005236672987,0.012276921343104425,0.012276921343104425
ENSMUSG00000045128,chol2,-0.051711009361466415,0.04355591682723911,-1.187232714365164,0.23809601163982336,0.23809601163982336,Rpl18a,NA,NA,NA,NA,NA,NA
ENSMUSG00000033096,chol2,0.010535292230154121,0.008875365930385841,1.1870262378799876,0.2381770512492965,0.2381770512492965,Apmap,chol2:sexM,-0.052132749867623146,0.017084526854578543,-3.051459973774568,0.002960172415066038,0.002960172415066038
ENSMUSG00000020745,chol2,-0.010393741496977627,0.008804691147429907,-1.1804776934181915,0.2407575484020226,0.2407575484020226,Pafah1b1,NA,NA,NA,NA,NA,NA
ENSMUSG00000022016,chol2,0.010416757210488896,0.008827078486332057,1.1800911509530945,0.24091049090637082,0.24091049090637082,Akap11,NA,NA,NA,NA,NA,NA
ENSMUSG00000024026,chol2,0.31877383374908425,0.27022091139758536,1.179678627018104,0.24107379010958058,0.24107379010958058,Glo1,NA,NA,NA,NA,NA,NA
ENSMUSG00000027900,chol2,-0.010824093361118687,0.009192070827399645,-1.1775467752983717,0.2419189538180505,0.2419189538180505,Dram2,NA,NA,NA,NA,NA,NA
ENSMUSG00000037287,chol2,-0.033743106876282854,0.028659610437177505,-1.1773749315346935,0.24198717268782682,0.24198717268782682,Tbcel,NA,NA,NA,NA,NA,NA
ENSMUSG00000047492,chol2,0.0355569736503579,0.03023082916159651,1.1761825473026526,0.24246090640010168,0.24246090640010168,Inhbe,NA,NA,NA,NA,NA,NA
ENSMUSG00000020068,chol2,-0.05527939917299417,0.04701250603291208,-1.1758445536660964,0.24259531156593836,0.24259531156593836,NA,NA,NA,NA,NA,NA,NA
ENSMUSG00000059890,chol2,-0.023678138086801522,0.020141235479094823,-1.1756050472364397,0.24269058492667364,0.24269058492667364,Ube4a,NA,NA,NA,NA,NA,NA
ENSMUSG00000023010,chol2,0.2319639458279207,0.19740890634051977,1.1750429609685156,0.24291428240630197,0.24291428240630197,Tmbim6,NA,NA,NA,NA,NA,NA
ENSMUSG00000002015,chol2,0.014026074593853742,0.011940685556930656,1.1746456706342692,0.24307248366949802,0.24307248366949802,Bcap31,NA,NA,NA,NA,NA,NA
ENSMUSG00000028468,chol2,-0.009937723184056686,0.008465372909109285,-1.1739262157445016,0.243359158277283,0.243359158277283,Rgp1,NA,NA,NA,NA,NA,NA
ENSMUSG00000029260,chol2,-0.14739120682509355,0.12560252419309184,-1.1734732862414885,0.2435397567066518,0.2435397567066518,Ugt2b34,NA,NA,NA,NA,NA,NA
ENSMUSG00000061740,chol2,0.08148431803086136,0.06950388322643455,1.1723707258973735,0.24397978489089614,0.24397978489089614,Cyp2d22,NA,NA,NA,NA,NA,NA
ENSMUSG00000028936,chol2,0.012625987630771333,0.01077161138438784,1.1721540241482522,0.24406633649971968,0.24406633649971968,Rpl22,chol2:sexM,-0.045054095167528285,0.021234880248529268,-2.1217023425714276,0.03649300604070871,0.03649300604070871
ENSMUSG00000005161,chol2,-0.012942877511375355,0.011046874073236831,-1.1716325745698464,0.2442746954646481,0.2442746954646481,Prdx2,NA,NA,NA,NA,NA,NA
ENSMUSG00000006333,chol2,0.03326693707228561,0.02846902750666558,1.1685308556639906,0.24551669122277708,0.24551669122277708,Rps9,NA,NA,NA,NA,NA,NA
ENSMUSG00000042744,chol2,-0.010938175175166312,0.00936152579760141,-1.1684179920722826,0.2455619689443316,0.2455619689443316,Hectd4,NA,NA,NA,NA,NA,NA
ENSMUSG00000092008,chol2,0.6767087326213864,0.5793305447418273,1.1680874394823333,0.24569461163835904,0.24569461163835904,Cyp2c69,NA,NA,NA,NA,NA,NA
ENSMUSG00000014606,chol2,-0.012094223003261406,0.010370569960429548,-1.1662062017236,0.24645047830318625,0.24645047830318625,Slc25a11,NA,NA,NA,NA,NA,NA
ENSMUSG00000029669,chol2,0.030631684818004882,0.026269952165780163,1.166035043562295,0.24651933038586799,0.24651933038586799,Tspan12,NA,NA,NA,NA,NA,NA
ENSMUSG00000042770,chol2,0.032475711014914824,0.027878136684970817,1.164916844403829,0.2469694871942872,0.2469694871942872,Hebp1,NA,NA,NA,NA,NA,NA
ENSMUSG00000079015,chol2,-3.2703990807445633,2.808385035410487,-1.1645123583513706,0.24713246633036143,0.24713246633036143,Serpina1c,NA,NA,NA,NA,NA,NA
